Locality,Latitude,Longitude,Crime Description,Crime Domain,Weapon Used,Hour,Victim Age,Victim Gender,Criminal Name
Turade,18.849313,73.161882,Theft,Property Crime,Knife,19,37,Other,Suresh Pawar
Gulsunde,18.855719,73.180133,Theft,Cybercrime,Blunt Object,11,45,Female,Unknown
Gulsunde,18.85698,73.180129,Drug Possession,Property Crime,Poison,9,16,Other,Sunil Shinde
Waveghar,18.85075,73.170588,Kidnapping,Other,Knife,16,48,Male,Unknown
Rees,18.837312,73.159761,Burglary,Other,Unknown,20,38,Female,Sunil Shinde
Gulsunde,18.856779,73.178544,Drug Possession,Other,Blunt Object,7,11,Male,Suresh Pawar
Mohopada,18.846096,73.183401,Drug Possession,Other,,1,68,Other,Ravi Patil
Waveghar,18.850905,73.170626,Drug Possession,Other,Unknown,18,19,Other,Kiran Deshmukh
Rees,18.836744,73.158797,Sexual Harassment,Property Crime,Unknown,8,41,Male,Unknown
Turade,18.848545,73.161041,Kidnapping,Cybercrime,Poison,23,24,Female,Suresh Pawar
Kambe,18.844378,73.188611,Kidnapping,Violent Crime,,2,47,Male,Unknown
Turade,18.849848,73.162516,Vandalism,Violent Crime,Blunt Object,15,55,Other,Kiran Deshmukh
Rees,18.836434,73.158953,Theft,Other,Knife,5,40,Female,Suresh Pawar
Karade,18.842436,73.16664,Homicide,Cybercrime,Firearm,11,64,Female,Kiran Deshmukh
Gulsunde,18.855788,73.178717,Kidnapping,Drug-Related,Blunt Object,15,50,Male,Sunil Shinde
Waveghar,18.8497,73.170905,Fraud,Property Crime,Firearm,23,30,Female,Kiran Deshmukh
Turade,18.84975,73.162243,Homicide,Other,Firearm,1,31,Female,Ravi Patil
Chambarli,18.838635,73.162088,Assault,Drug-Related,Firearm,5,52,Female,Kiran Deshmukh
Chambarli,18.83846,73.163232,Drug Possession,Drug-Related,Knife,19,64,Female,Anjali Jadhav
Turade,18.848019,73.161824,Sexual Harassment,Violent Crime,Unknown,4,49,Other,Sunil Shinde
Rees,18.836646,73.159878,Kidnapping,Cybercrime,Knife,22,67,Male,Sunil Shinde
Dapivali,18.847112,73.17184,Fraud,Cybercrime,Unknown,12,22,Female,Kiran Deshmukh
